Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
2802,10495,SUPERSPORT BASE,Ducatti Sport Touring,2017
2485,21999,PANIGALE 1299 S ANNIVERSARIO,Ducatti Sportbike,2017
4350,9500,HYPERSTRADA 939,Ducatti Sport Touring,2016
9793,9995,899 PANIGALE RED,Ducatti Sportbike,2015
2405,6250,SCRAMBLER ICON,Ducatti Sportbike,2015
4836,11500,DIAVEL CARBON,Ducatti Sport Touring,2015
7227,6495,MONSTER 696,Ducatti Standard,2014
24350,6800,MULTISTRADA 1200 S TOURING,Ducatti Sport Touring,2013
5367,8999,749 BASE,Ducatti Sportbike,2006
2,22395,PANIGALE V2 BAYLISS 1ST CHAMPIONSHIP 20TH ANNIVERSARY,Ducatti Standard,2023
0,27095,MULTISTRADA V4 S,Ducatti Dual Sport,2023
1,11695,SCRAMBLER URBAN MOTARD STAR WHITE SILK AND DUCATI GP,Ducatti Standard,2022
7227,7199,SCRAMBLER ICON DARK,Ducatti Standard,2021
1427,11950,MONSTER 821,Ducatti Sportbike,2020
3342,9390,MONSTER 821,Ducatti Sportbike,2020
593,18999,DIAVEL 1260 S,Ducatti Sportbike,2020
3905,23000,PANIGALE V4,Ducatti Sportbike,2019
7954,13995,1299 PANIGALE S RED,Ducatti Sportbike,2015
8717,17996,SUPERBIKE 1199 PANIGALE,Ducatti Sportbike,2015
24,18900,MULTISTRADA V2 S,Ducatti Touring,2023
0,27795,STREETFIGHTER V4 S,Ducatti Sportbike,2023
601,12800,MONSTER + 937,Ducatti Sportbike,2022
4785,19995,STREETFIGHTER V4 S,Ducatti Sportbike,2020
5095,15500,MULTISTRADA 1260 S TOURING,Ducatti Sport Touring,2019
2051,9900,MONSTER 821,Ducatti Sportbike,2018
7987,10100,MULTISTRADA 950,Ducatti Sport Touring,2018
4101,15500,MULTISTRADA 1200 S TOURING,Ducatti Sport Touring,2017
7427,11495,MULTISTRADA 1200 S ICEBERG WHITE,Ducatti Sport Touring,2016
6524,7900,MONSTER 821,Ducatti Sportbike,2015
5592,10200,DIAVEL CROMO,Ducatti Sportbike,2013
5282,11000,SPORTCLASSIC GT1000,Ducatti Classic / Vintage,2008
575,9998,MONSTER 1000S,Ducatti Sportbike,2008
311,23700,PANIGALE V4,Ducatti Sportbike,2023
1,26295,MULTISTRADA V4 S TRAVEL & RADAR,Ducatti Standard,2022
8202,18211,STREETFIGHTER V4S,Ducatti Sportbike,2021
2457,15497,XDIAVEL DARK,Ducatti Cruiser,2021
8958,16799,MULTISTRADA 1260 PIKES PEAK,Ducatti Sport Touring,2019
875,8699,SCRAMBLER FULL THROTTLE,Ducatti Standard,2018
4350,7197,MONSTER + 797,Ducatti Standard,2017
2386,18000,PANIGALE 959 CORSE,Ducatti Sportbike,2017
6959,10980,PANIGALE 899,Ducatti Sportbike,2015
4607,16999,1199 PANIGALE,Ducatti Sportbike,2013
2870,10000,848 EVO CORSE SE,Ducatti Sportbike,2013
13185,7997,MS1200STE 1200 S TOURING,Ducatti Custom,2011
4443,10200,848 EVO,Ducatti Sportbike,2011
790,14999,749 S,Ducatti Sportbike,2006
5539,3300,750,Ducatti Sportbike,2002
2,13195,MONSTER PLUS,Ducatti Sportbike,2023
0,18295,PANIGALE V2,Ducatti Sportbike,2023
1,31595,PANIGALE V4 S DUCATI RED,Ducatti Sportbike,2023
1285,31000,STREETFIGHTER V4 SP,Ducatti Sportbike,2022
