Mileage_$,Price_$,Bike,Type_of_Bike,Used_Time
6.835083115,7699,INTERCEPTOR 650,Royal Enfield Standard,2022
0,6699,CONTINENTAL GT 650 MR. CLEAN BASE,Royal Enfield Standard,2022
3.106855961,3995,CLASSIC 350,Royal Enfield Cruiser,2022
1.864113577,4799,CLASSIC 350,Royal Enfield Cruiser,2022
3.106855961,4499,CLASSIC 350,Royal Enfield Cruiser,2022
6.213711922,5699,INTERCEPTOR 650 VENTURA BLUE,Royal Enfield Standard,2022
624.4780482,5899,CONTINENTAL GT 650,Royal Enfield Standard,2021
2044.311222,3995,HIMALAYAN LAKE BLUE,Royal Enfield Standard,2021
44.73872584,5897,HIMALAYAN LAKE BLUE,Royal Enfield Standard,2021
1547.214269,4799,METEOR 350 STELLAR BLUE,Royal Enfield Standard,2021
477.2130756,5995,BULLET TRIALS WORKS REPLICA 500,Royal Enfield Standard,2020
2316.471805,6499,INT650 SILVER SPECTRE,Royal Enfield Standard,2020
1728.033286,3799,CLASSIC BATTLE GREEN,Royal Enfield Cruiser,2017
0,6349,CONTINENTAL GT 650 ROCKER RED,Royal Enfield Standard,2023
0.621371192,4799,CLASSIC 350,Royal Enfield Cruiser,2023
1.864113577,5449,HIMALAYAN BASE,Royal Enfield Dual Sport,2023
3.106855961,5099,SCRAM 411 SKYLINE BLUE,Royal Enfield Standard,2023
0,5099,SCRAM 411 GRAPHITE BLUE,Royal Enfield Standard,2023
6.213711922,4799,CLASSIC 350 CHROME RED,Royal Enfield Standard,2023
6.213711922,4799,CLASSIC 350 CHROME BRONZE,Royal Enfield Standard,2023
0,5099,SCRAM 411 WHITE FLAME,Royal Enfield Standard,2023
0,4799,METEOR 350,Royal Enfield Scooter,2023
0,6199,CONTINENTAL GT,Royal Enfield Scooter,2023
0,6649,CONTINENTAL GT,Royal Enfield Scooter,2023
1.242742384,6349,INT650 SUNSET STRIP,Royal Enfield Standard,2023
0.621371192,5449,HIMALAYAN MIRAGE SILVER,Royal Enfield Standard,2023
0,4699,CLASSIC 350,Royal Enfield Scooter,2023
0,5449,HIMALAYAN,Royal Enfield Scooter,2023
6.213711922,6349,INT650 SUNSET STRIP,Royal Enfield Standard,2023
0,5099,SCRAM 411,Royal Enfield Scooter,2023
0.621371192,5099,SCRAM 411 SKYLINE BLUE,Royal Enfield Standard,2023
0.621371192,5099,SCRAM 411 SILVER SPIRIT,Royal Enfield Standard,2023
0,6349,CONTINENTAL GT 650 ROCKER RED,Royal Enfield Standard,2023
0,5449,HIMALAYAN GRANITE BLACK,Royal Enfield Standard,2023
0.621371192,5099,SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
0,4699,CLASSIC 350 CHROME BRONZE,Royal Enfield Standard,2023
4.349598346,4199,HUNTER 350,Royal Enfield Standard,2023
0,5774,SCRAM 411 SILVER SPIRIT,Royal Enfield Standard,2023
0.621371192,5099,SCRAM 411,Royal Enfield Standard,2023
0.621371192,4799,CLASSIC 350,Royal Enfield Standard,2023
0,4649,METEOR 350,Royal Enfield Cruiser,2022
1.864113577,6199,INT650 BASE,Royal Enfield Standard,2022
0,4549,METEOR 350,Royal Enfield Cruiser,2022
1.242742384,4749,METEOR 350,Royal Enfield Cruiser,2022
0,4749,METEOR 350,Royal Enfield Cruiser,2022
0.621371192,11499,INT 650,Royal Enfield Standard,2022
1.242742384,4649,METEOR 350,Royal Enfield Cruiser,2022
0,3799,METEOR 350,Royal Enfield Dual Sport,2022
0,5199,TWINS CONTINENTAL GT 650,Royal Enfield Standard,2022
3.106855961,4897,DOWNTOWN DRAG,Royal Enfield Standard,2022
0,4399,METEOR FIREBALL YELLOW,Royal Enfield Standard,2022
0,4599,CLASSIC 350 SIGNALS DESERT SAND,Royal Enfield Standard,2022
0,5299,HIMALAYAN ROCK RED,Royal Enfield Standard,2022
0,4299,HIMALAYAN,Royal Enfield Dual Sport,2022
0,5299,HIMALAYAN PINE GREEN,Royal Enfield Dual Sport,2022
3.106855961,3995,CLASSIC 350 CHROME RED,Royal Enfield Standard,2022
0,5999,CONTINENTAL GT MR. CLEAN,Royal Enfield Standard,2022
0,3749,METEOR STELLAR BLUE,Royal Enfield Standard,2022
0,5499,CONTINENTAL GT VENTURA STORM,Royal Enfield Standard,2022
0,3799,METEOR SUPERNOVA BLUE,Royal Enfield Standard,2022
0,3749,METEOR STELLAR BLACK,Royal Enfield Standard,2022
0,5499,CONTINENTAL GT DUX DELUXE,Royal Enfield Standard,2022
0,5699,INT650 MARK 2,Royal Enfield Standard,2022
0,5199,TWINS INT650,Royal Enfield Standard,2022
0,4649,METEOR FIREBALL RED,Royal Enfield Standard,2022
0,3649,METEOR FIREBALL RED,Royal Enfield Standard,2022
0,4999,INT650 ORANGE CRUSH,Royal Enfield Standard,2022
0,4749,METEOR STELLAR RED,Royal Enfield Standard,2022
0,6199,INT650 SUNSET STRIP,Royal Enfield Standard,2022
0,4649,METEOR FIREBALL YELLOW,Royal Enfield Standard,2022
0,4749,METEOR STELLAR BLACK,Royal Enfield Standard,2022
0,8695,INT650 DOWNTOWN DRAG,Royal Enfield Standard,2022
0,4599,CLASSIC 350 DARK GUNMETAL GREY,Royal Enfield Standard,2022
0,4599,CLASSIC 350 SIGNALS MARSH GREY,Royal Enfield Standard,2022
0,4649,METEOR FIREBALL RED,Royal Enfield Standard,2022
0.621371192,5523,INT650,Royal Enfield Cruiser,2022
1.864113577,4999,CLASSIC 350,Royal Enfield Standard,2022
2.485484769,4499,CLASSIC 350,Royal Enfield Classic / Vintage,2022
0.621371192,4499,CLASSIC 350,Royal Enfield Classic / Vintage,2022
529.4082558,4350,METEOR 350,Royal Enfield Cruiser,2022
0,4399,METEOR 350,Royal Enfield Cruiser,2021
9550.475225,5171,INT 650,Royal Enfield Custom,2021
512.0098624,4499,METEOR 350,Royal Enfield Cruiser,2021
0,4399,METEOR 350 STELLAR RED,Royal Enfield Standard,2021
359.1525491,5500,CONTINENTAL GT DR. MAYHEM,Royal Enfield Standard,2021
260.3545295,5995,INT650,Royal Enfield Classic / Vintage,2019
4795.12149,4999,CLASSIC 500,Royal Enfield Classic / Vintage,2018
82.64236857,13450,INTERCEPTOR,Royal Enfield Classic / Vintage,1968
0,4899,METEOR 350,Royal Enfield Cruiser,2023
0,6649,CONTINENTAL GT 650 - DUX DELUXE,Royal Enfield Standard,2023
0,4799,CLASSIC 350 CHROME RED,Royal Enfield Standard,2023
0,4599,CLASSIC 350,Royal Enfield Standard,2023
0,6199,INT650 - SUNSET STRIP,Royal Enfield Standard,2023
0,4749,METEOR 350 - STELLAR BLACK,Royal Enfield Standard,2023
0,6199,INT650 SUNSET STRIP,Royal Enfield Standard,2023
1.864113577,4899,METEOR 350 BASE,Royal Enfield Cruiser,2023
0,4649,METEOR 350 - FIREBALL RED,Royal Enfield Standard,2023
0,4809,CLASSIC 350,Royal Enfield Standard,2023
0.621371192,3999,SCRAM 411,Royal Enfield Standard,2023
6.213711922,7149,CONTINENTAL GT 650 MR.CLEAN BASE,Royal Enfield Standard,2023
6.213711922,6849,CONTINENTAL GT 650 ROCKER RED,Royal Enfield Standard,2023
6.213711922,6149,INT650 VENTURA BLUE,Royal Enfield Standard,2023
0.621371192,6349,INT650 DOWNTOWN DRAG,Royal Enfield Standard,2023
397.677563,4995,SCRAM 411,Royal Enfield Standard,2023
0.621371192,5099,SCRAM 411,Royal Enfield Standard,2023
0,6349,INT650 BAKER EXPRESS,Royal Enfield Standard,2023
0,5449,HIMALAYAN MIRAGE SILVER,Royal Enfield Standard,2023
0,6349,INT650,Royal Enfield Scooter,2023
0,6349,CONTINENTAL GT 650 BRITISH RACING GREEN,Royal Enfield Classic / Vintage,2023
0,5099,SCRAM 411 GRAPHITE YELLOW,Royal Enfield Standard,2023
1.864113577,6149,INT650 ORANGE CRUSH,Royal Enfield Standard,2023
0.621371192,4599,CLASSIC 350 HALCYON GREEN,Royal Enfield Standard,2023
0.621371192,4599,CLASSIC 350 HALCYON BLACK,Royal Enfield Standard,2023
1.864113577,4899,METEOR 350 SUPERNOVA BLUE,Royal Enfield Standard,2023
9.941939076,5099,SCRAM 411 GRAPHITE BLUE,Royal Enfield Standard,2023
0,6124,HIMALAYAN ROCK RED,Royal Enfield Standard,2023
0,6824,INT650 CANYON RED,Royal Enfield Standard,2023
0,5774,SCRAM 411 SKYLINE BLUE,Royal Enfield Standard,2023
0,5774,SCRAM 411 WHITE FLAME,Royal Enfield Standard,2023
0,6124,HIMALAYAN LAKE BLUE,Royal Enfield Standard,2023
1.864113577,4799,CLASSIC 350,Royal Enfield Classic / Vintage,2023
6.213711922,6349,INTERCEPTOR 650,Royal Enfield Standard,2023
1.242742384,4799,METEOR 350,Royal Enfield Cruiser,2023
0,6124,HIMALAYAN PINE GREEN,Royal Enfield Standard,2023
1.864113577,5954,METEOR 350,Royal Enfield Cruiser,2023
0,5774,SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
0,5774,SCRAM 411 GRAPHITE YELLOW,Royal Enfield Standard,2023
6.213711922,4599,CLASSIC 350 REBORN,Royal Enfield Classic / Vintage,2023
0,5099,SCRAM 411,Royal Enfield Dual Sport,2023
1.242742384,6349,INTERCEPTOR 650,Royal Enfield Standard,2023
1.242742384,6149,INTERCEPTOR 650,Royal Enfield Standard,2023
1.864113577,6349,CONTINENTAL GT 650,Royal Enfield Standard,2023
1.864113577,4499,CLASSIC 350 BASE,Royal Enfield Cruiser,2022
0,6342,CONTINENTAL GT 650 TWIN MR CLEAN BASE,Royal Enfield Standard,2022
0,4799,HIMALAYAN,Royal Enfield Standard,2022
0,5999,CONTINENTAL GT 650 TWIN MR CLEAN BASE,Royal Enfield Standard,2022
0,4999,HIMALAYAN,Royal Enfield Standard,2022
248.5484769,5799,INT650 DOWNTOWN DRAG,Royal Enfield Standard,2022
0,6199,INT 650 DOWNTOWN DRAG,Royal Enfield Standard,2022
0,5798,INT650,Royal Enfield Standard,2022
0,4999,INT650 CANYON RED,Royal Enfield Standard,2022
0,7174,CONTINENTAL GT VENTURA STORM,Royal Enfield Standard,2022
408.2408733,4489,CLASSIC 350 SIGNALS DESERT SAND,Royal Enfield Standard,2022
0,5174,CLASSIC 350 HALCYON GREEN,Royal Enfield Standard,2022
0,5374,CLASSIC 350 CHROME RED,Royal Enfield Standard,2022
0,6874,INT650 BAKER EXPRESS,Royal Enfield Standard,2022
0,5224,METEOR FIREBALL RED,Royal Enfield Standard,2022
0,5424,METEOR 350 STELLAR RED,Royal Enfield Standard,2022
0,6874,CONTINENTAL GT ROCKED RED,Royal Enfield Standard,2022
0,6874,CONTINENTAL GT BRITISH RACING GREEN,Royal Enfield Standard,2022
0,6874,INT650 DOWNTOWN DRAG,Royal Enfield Standard,2022
349.8319812,5999,CONTINENTAL GT 650,Royal Enfield Cruiser,2022
1127.167343,5495,INT650,Royal Enfield Cruiser,2022
106.8758451,5999,INTERCEPTOR 650,Royal Enfield Standard,2022
0,6199,CONTINENTAL GT 650,Royal Enfield Standard,2022
3552.379106,4700,METEOR 350,Royal Enfield Cruiser,2021
656.167979,3980,METEOR 350 SUPERNOVA,Royal Enfield Cruiser,2021
722.0333254,4495,INT650 SILVER SPECTRE,Royal Enfield Standard,2019
3.728227153,5449,HIMALAYAN,Royal Enfield Standard,2023
0,5099,SCRAM 411 - GRAPHITE RED,Royal Enfield Standard,2023
3.106855961,5550,HIMALAYAN,Royal Enfield Standard,2023
0,5899,HIMALAYAN,Royal Enfield Standard,2023
0.621371192,5550,HIMALAYAN,Royal Enfield Standard,2023
