Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
370,10685,450 EXC-F SIX DAYS,KTM Dual Sport,2019
2826,15488,1290 SUPER DUKE,KTM Standard,2017
19334,9998,1290 SUPER DUKE GT,KTM Sportbike,2017
32638,8495,SUPER ADVENTURE 1290,KTM Sport Touring,2015
0,4199,200 DUKE,KTM Sportbike,2022
0,13949,890 ADVENTURE,KTM Standard,2023
0,13949,890 ADVENTURE,KTM Standard,2023
0,55900,RC 8C,KTM  Super Moto,2023
1,11399,350 XC-F,KTM Dirt Bike,2023
0,9500,450,KTM  Dirt Bike,2022
62,4600,65 SX,KTM Mx,2022
1,10499,890 DUKE,KTM Sportbike,2022
842,5495,390 DUKE,KTM Sportbike,2022
0,9899,350 XC-F,KTM Dirt Bike,2021
163,9000,250 XC-W TPI,KTM Dirt Bike,2019
947,4799,DUKE 390,KTM Sportbike,2017
6769,4838,RC 390,KTM  Sportbike,2015
0,12099,450 SX-F FACTORY EDITION,KTM Mx,2023
1,7399,390 ADVENTURE,KTM Standard,2023
2,6994,SX 250,KTM Dirt Bike,2023
2,20399,1290 SUPER DUKE R,KTM Sportbike,2023
0,7999,450 SX-F,KTM Dirt Bike,2023
1,9549,500 EXC-F,KTM Dirt Bike,2023
0,12999,690 SMC R ENDURO R,KTM Competition,2023
3,12149,350 EXC-F,KTM Dual Sport,2023
0,8999,300 XC TPI,KTM Dirt Bike,2022
1,6799,390 ADVENTURE,KTM Sportbike,2022
3,5799,RC 390,KTM Sportbike,2022
217,11995,350 EXC-F,KTM Dual Sport,2020
0,7499,450 SX-F FACTORY EDITION,KTM  Dirt Bike,2019
8823,4350,390 DUKE,KTM Sportbike,2017
0,2499,85 SX 17/14,KTM  Dirt Bike,2021
0,8799,250 XC-W,KTM Dirt Bike,2023
0,8999,FREERIDE E-XC,KTM Dirt Bike,2023
0,5399,85 SX 17/14,KTM Dirt Bike,2023
0,10899,450 SX-F,KTM Dirt Bike,2023
0,12499,500 EXC-F SIX DAYS,KTM Dirt Bike,2023
0,20299,1290 SUPER ADVENTURE S,KTM Standard,2023
3,12549,500 EXC-F,KTM Dual Sport,2023
0,7699,150 XC-W,KTM Dirt Bike,2023
