Mileage_km,Price_$,Bike ,Type_of_Bike,Used_Time
22577," 17,996 ",SUPERBIKE 1199 PANIGALE,Ducati Sportbike,2015
61," 18,900 ",MULTISTRADA V2 S,Ducati Touring,2023
1558," 12,800 ",MONSTER + 937,Ducati Sportbike,2022
12392," 19,995 ",STREETFIGHTER V4 S,Ducati Sportbike,2020
13197," 15,500 ",MULTISTRADA 1260 S TOURING,Ducati Sport Touring,2019
5311," 9,900 ",MONSTER 821,Ducati Sportbike,2018
20687," 10,100 ",MULTISTRADA 950,Ducati Sport Touring,2018
10622," 15,500 ",MULTISTRADA 1200 S TOURING,Ducati Sport Touring,2017
19235," 11,495 ",MULTISTRADA 1200 S ICEBERG WHITE,Ducati Sport Touring,2016
16898," 7,900 ",MONSTER 821,Ducati Sportbike,2015
14484," 10,200 ",DIAVEL CROMO,Ducati Sportbike,2013
13679," 11,000 ",SPORTCLASSIC GT1000,Ducati Classic / Vintage,2008
1490," 9,998 ",MONSTER 1000S,Ducati Sportbike,2008
805," 23,700 ",PANIGALE V4,Ducati Sportbike,2023
3," 26,295 ",MULTISTRADA V4 S TRAVEL & RADAR,Ducati Standard,2022
21243," 18,211 ",STREETFIGHTER V4S,Ducati Sportbike,2021
6363," 15,497 ",XDIAVEL DARK,Ducati Cruiser,2021
23202," 16,799 ",MULTISTRADA 1260 PIKES PEAK,Ducati Sport Touring,2019
2266," 8,699 ",SCRAMBLER FULL THROTTLE,Ducati Standard,2018
11265," 7,197 ",MONSTER + 797,Ducati Standard,2017
6180," 18,000 ",PANIGALE 959 CORSE,Ducati Sportbike,2017
18025," 10,980 ",PANIGALE 899,Ducati Sportbike,2015
11933," 16,999 ",1199 PANIGALE,Ducati Sportbike,2013
7434," 10,000 ",848 EVO CORSE SE,Ducati Sportbike,2013
34149," 7,997 ",MS1200STE 1200 S TOURING,Ducati Custom,2011
11507," 10,200 ",848 EVO,Ducati Sportbike,2011
2047," 14,999 ",749 S,Ducati Sportbike,2006
14346," 3,300 ",750,Ducati Sportbike,2002
5," 13,195 ",MONSTER PLUS,Ducati Sportbike,2023
2," 31,595 ",PANIGALE V4 S DUCATI RED,Ducati Sportbike,2023
3328," 31,000 ",STREETFIGHTER V4 SP,Ducati Sportbike,2022
687," 15,995 ",SUPERSPORT 950 S WHITE SILK FAIRING,Ducati Sportbike,2022
2549," 16,799 ",MULTISTRADA V2 S STREET GREY,Ducati Sportbike,2022
188," 19,995 ",DIAVEL 1260 DARK STEALTH 1260 S,Ducati Sportbike,2022
616," 20,000 ",STREETFIGHTER V4 S,Ducati Sportbike,2021
12070," 9,500 ",MONSTER + 937,Ducati Sportbike,2021
24660," 17,995 ",MULTISTRADA 1260 ENDURO,Ducati Sportbike,2019
7805," 8,500 ",SCRAMBLER 1100,Ducati Standard,2019
1894," 22,950 ",PANIGALE V4 S,Ducati Sportbike,2019
25750," 13,000 ",MULTISTRADA 1200 ENDURO,Ducati Sport Touring,2017
