Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
5472,"11,500",YZF R1,Yamaha Sportbike,2012
58760,"8,000",FJR 1300 AE,Yamaha Sport Touring,2009
44257,"6,500",FJ1300,Yamaha Sport Touring,2009
29773,"8,500",WARRIOR BASE,Yamaha Cruiser,2017
35245,"6,650",ROYAL STAR VENTURE,Yamaha Cruiser,2017
2,"14,199",MT-10,Yamaha Sportbike,2023
2,"14,999",TRACER 9 GT,Yamaha Touring,2022
4345,"10,000",MT 09,Yamaha Sportbike,2019
3423,"2,650",SMAX XC155,Yamaha Scooter,2018
11265,"10,500",TMAX 500,Yamaha Scooter,2015
78858,"7,200",STRATOLINER S,Yamaha Touring,2014
19151,"4,900",V STAR 650 CLASSIC,Yamaha Custom,2010
6437,"4,500",V STAR 950 BASE,Yamaha Cruiser,2010
40626,"7,500",YZF R1,Yamaha Sportbike,2009
33796,"4,950",WARRIOR BASE,Yamaha Cruiser,2017
5,"10,499",TENERE 700,Yamaha Dual Sport,2023
5,"3,799",ZUMA 125,Yamaha Scooter,2023
2,"9,199",YZF-R7,Yamaha Sportbike,2023
3,"9,199",YZF R7,Yamaha Sportbike,2023
3,"4,859",ZUMA 125,Yamaha Scooter,2023
8,"3,799",ZUMA 125,Yamaha Scooter,2023
2,"14,999",TRACER 9 GT,Yamaha Touring,2022
5,"14,249",TRACER 9 GT,Yamaha Touring,2022
3,"7,399",MT-07,Yamaha Standard,2022
2,"1,749",TT-R50E,Yamaha Dirt Bike,2022
999,"13,980",TRACER 9 GT,Yamaha Touring,2022
2,"14,999",TRACER 9 GT,Yamaha Touring,2022
15450,"9,200",XSR 900,Yamaha Classic / Vintage,2021
3701,"11,000",MT -09 SP,Yamaha Sportbike,2021
13,"7,000",450 VL YFZ,Yamaha Dirt Bike,2021
5850,"4,500",MT 03,Yamaha Standard,2020
5472,"9,950",TRACER 900,Yamaha Sport Touring,2019
536,"5,800",450,Yamaha Dirt Bike,2018
8369,"12,000",SUPER TENERE 60TH ANNIVERSARY,Yamaha Dual Sport,2016
20921,"8,250",RAIDER S,Yamaha Cruiser,2013
29023,"4,499",YZF 600R,Yamaha Sportbike,2005
36579,"3,349",V-STAR 650 CUSTOM,Yamaha Cruiser,2005
14001,"3,500",V STAR 1100 CLASSIC,Yamaha Cruiser,2004
15055,"5,499",YZF600R,Yamaha Sportbike,1997
16093,"12,000",RD400,Yamaha Classic / Vintage,1979
6,"4,699",V STAR 250,Yamaha Cruiser,2023
39,"14,999",TRACER 9 GT,Yamaha Standard,2022
388,"7,000",WR250R,Yamaha Dual Sport,2020
56166,"15,000",STAR VENTURE XV1900FD,Yamaha Touring,2018
13456,"18,000",STAR VENTURE,Yamaha Touring,2018
6759,"5,995",FZ6 FZ6RAB,Yamaha Sportbike,2016
15973,"5,499",V STAR 950 TOURER,Yamaha Touring,2012
2401,"6,750",FZ8,Yamaha Cruiser,2011
4506,"14,000",RS,Yamaha Sportbike,2019
64535,"6,900",FJ1300,Yamaha Sport Touring,2009
2952,"4,995",V STAR 1100 CLASSIC,Yamaha Touring,2007
8108,"4,500",1100,Yamaha Cruiser,2004
63147,"9,500",MT 10,Yamaha Custom,2018
29433,"6,250",MT 07,Yamaha Sportbike,2018
7644,"6,750",FZ-07 ABS,Yamaha Sport Touring,2017
7479,"6,500",SCR950,Yamaha Standard,2017
26759,"12,000",YZF R1,Yamaha Sportbike,2015
1081,"7,000",BOLT R SPEC,Yamaha Cruiser,2014
11360,"9,625",RAIDER SCL,Yamaha Cruiser,2013
32921,"5,495",FZ1,Yamaha Sportbike,2012
16093,"6,000",FJ1300,Yamaha Sport Touring,2009
51499,"4,950",ROAD STAR SILVERADO MIDNIGHT,Yamaha Cruiser,2018
1931,"1,395",VINO CLASSIC,Yamaha Scooter,2016
13530,"4,995",V STAR 1100 CLASSIC,Yamaha Cruiser,2005
2,"9,199",YZF-R7,Yamaha Sportbike,2023
4184,"11,900",TRACER 9 GT,Yamaha Sport Touring,2021
1207,"5,795",WR250R ZL-C,Yamaha Dual Sport,2018
20921,"6,000",STRYKER 1300,Yamaha Cruiser,2012
15450,"3,350",XV650,Yamaha Custom,2009
19,"8,000",250F,Yamaha Dirt Bike,2023
31575,"6,498",FJ-09,Yamaha Standard,2015
12875,"14,000",YZF R1,Yamaha Sportbike,2014
87709,"7,500",FJR 1300ABS,Yamaha Sport Touring,2014
14967,"7,200",RAIDER 1900,Yamaha Cruiser,2008
13662,"2,800",V STAR 650 CUSTOM,Yamaha Touring,2005
3,"7,899",MT-07,Yamaha Standard,2023
2,"3,799",ZUMA 125,Yamaha Scooter,2023
5,"9,199",YZF-R7,Yamaha Custom,2023
3,"6,059",MT03PL,Yamaha Custom,2023
2,"9,799",MT-09,Yamaha Sportbike,2023
32023,"5,999",FJ-09,Yamaha Sport Touring,2015
29630,"13,490",YZF-R1S,Yamaha Sportbike,2016
60621,"6,995",V STAR 1300 DELUXE,Yamaha Cruiser,2013
19401,"6,999",R1,Yamaha Trike,2003
39823,"11,900",YZF-R1,Yamaha Sportbike,2013
39579,"4,999",V STAR 1300,Yamaha Cruiser,2009
2,"14,999",TRACER 9 GT,Yamaha Touring,2022
9032,"13,584",NIKEN GT,Yamaha Sportbike,2019
11563,"8,995",MT-09,Yamaha Standard,2019
33037,"4,999",FZ6R,Yamaha Sportbike,2012
38959,"4,999",ROAD STAR,Yamaha Cruiser,2016
5354,"5,999",YZF-R3 MONSTER ENERGY YAMAHA MOTOGP EDITION,Yamaha Sportbike,2021
18853,"10,999",FJR1300A 1300 A,Yamaha Sport Touring,2015
76128,"4,999",ROAD STAR SILVERADO,Yamaha Cruiser,2018
34689,"9,950",V STAR 1300 DELUXE,Yamaha Cruiser,2015
4208,"3,999",V STAR 250,Yamaha Cruiser,2013
24753,"7,299",V STAR 1300 DELUXE,Yamaha Cruiser,2013
31971,"8,799",RAIDER SCL,Yamaha Cruiser,2012
91522,"3,499",ROAD STAR SILVERADO MIDNIGHT,Yamaha Cruiser,2015
24621,"5,999",ROAD STAR SILVERADO,Yamaha Cruiser,2016
68392,"5,799",ROYAL STAR VENTURE,Yamaha Touring,2015
54473,"3,999",ROAD STAR SILVERADO,Yamaha Cruiser,1999
11096,"6,999",XT350,Yamaha Dual Sport,1989
28262,"4,999",V STAR 950 TOURER,Yamaha Cruiser,2012
61295,"4,699",ROAD STAR,Yamaha Cruiser,2010
2,"8,899",BOLT R-SPEC,Yamaha Cruiser,2023
966,"8,999",YZF-R7,Yamaha Dirt Bike,2023
2239,"16,995",STAR ELUDER,Yamaha Touring,2018
6035,"10,990",YZF-R6,Yamaha Sportbike,2014
23545,"6,999",STRYKER 1300,Yamaha Cruiser,2012
23202,"5,999",STAR XVS 1300,Yamaha Cruiser,2009
25465,"4,999",ROAD STAR MIDNIGHT,Yamaha Cruiser,2017
28291,"3,999",V STAR 650 CLASSIC,Yamaha Cruiser,1999
2288,"5,700",MT-03,Yamaha Sportbike,2021
20130,"23,995",YZF-R1M,Yamaha Sportbike,2021
22336,"12,999",YZF-R6,Yamaha Sportbike,2018
