Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
13,"4,799",HIMALAYAN PINE GREEN,Royal Enfield Dual Sport,2022
2,"6,499",CONTINENTAL GT VENTURA STORM,Royal Enfield Standard,2022
13,"4,299",HIMALAYAN PINE GREEN,Royal Enfield Dual Sport,2022
2,"4,699",CLASSIC 350 CHROME RED,Royal Enfield Standard,2022
16,"4,499",CLASSIC 350 REBORN,Royal Enfield Classic / Vintage,2022
2049,"4,995",CONTINENTAL GT 650,Royal Enfield Cruiser,2021
5021,"4,899",METRO 350,Royal Enfield Standard,2021
3497,"3,999",HIMALAYAN SLEET GREY,Royal Enfield Standard,2021
7685,"4,799",HIMALAYAN SNOW WHITE,Royal Enfield Standard,2021
5,"5,449",HIMALAYAN,Royal Enfield Standard,2023
5,"6,149",INT650,Royal Enfield Cruiser,2023
8,"6,149",INT650,Royal Enfield Cruiser,2023
82,"6,149",INT650,Royal Enfield Cruiser,2023
2,"6,149",INT650,Royal Enfield Cruiser,2023
2,"6,149",INT650,Royal Enfield Cruiser,2023
5,"6,349",CONTINENTAL GT BASE,Royal Enfield Standard,2023
5,"5,099",SCRAM 411 BASE,Royal Enfield Standard,2023
5,"5,099",SCRAM 411 BASE,Royal Enfield Standard,2023
5,"6,849",INT650 MARK 2,Royal Enfield Standard,2023
8,"5,099",SCRAMBLER 411,Royal Enfield Dual Sport,2023
8,"5,099",SCRAMBLER 411,Royal Enfield Standard,2023
8,"6,649",CONTINENTAL GT65 BASE,Royal Enfield Standard,2023
16,"4,799",CLASSIC 350 HALCYON GREEN,Royal Enfield Standard,2023
13,"5,550",HIMALAYAN MIRAGE SILVER,Royal Enfield Standard,2023
16,"5,099",SCRAM 411 GRAPHITE RED,Royal Enfield Standard,2023
16,"5,449",HIMALAYAN GRANITE BLACK,Royal Enfield Standard,2023
16,"5,099",SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
16,"5,099",SCRAM 411 BLAZING BLACK,Royal Enfield Standard,2023
48,"4,995",SCRAM 411 GRAPHITE RED,Royal Enfield Standard,2023
16,"4,799",CLASSIC 350 CHROME BRONZE,Royal Enfield Standard,2023
8,"4,799",METEOR 350,Royal Enfield Standard,2023
2,"4,699",METEOR 350 FIREBALL YELLOW,Royal Enfield Standard,2023
8869,"5,988",INTERCEPTOR 650,Royal Enfield Cruiser,2022
2,"5,999",INT650,Royal Enfield Cruiser,2022
8,"5,495",INT650,Royal Enfield Cruiser,2022
8,"5,299",HIMALAYAN,Royal Enfield Dual Sport,2022
2,"6,499",CONTINENTAL GT DUX DELUXE,Royal Enfield Standard,2022
3058,"4,950",HIMALAYAN BASE,Royal Enfield Dual Sport,2022
2,"5,299",HIMALAYAN MIRAGE SILVER,Royal Enfield Dual Sport,2022
2,"6,999",CONTINENTAL GT MR. CLEAN,Royal Enfield Standard,2022
16,"4,799",HIMALAYAN,Royal Enfield Standard,2022
16,"4,699",CLASSIC 350 CHROME RED,Royal Enfield Classic / Vintage,2022
3415,"4,591",METEOR 350 STELLAR BLUE,Royal Enfield Standard,2021
8,"4,799",METEOR 350,Royal Enfield Cruiser,2023
