Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
164," 13,495 ",R 18 MARS RED METALLIC,BMW Cruiser,2022
13868," 8,499 ",F 900 XR LIGHT WHITE,Sport Touring,2020
306," 14,250 ",R 1250,Sport Touring,2019
34834," 15,499 ",K 1600 B BLACK STORM METALLIC PREMIUM,BMW Touring,2018
51095," 12,899 ",R 1200 RT MARS RED METALLIC / DARK SLATE METALLIC,Sport Touring,2018
9897," 10,400 ",S 1000 R,BMW Sportbike,2014
22703," 9,000 ",R 1200 GS ADVENTURE,Dual Sport,2013
13," 13,955 ",CE 04 AVANTGARDE,BMW Scooter,2023
16," 13,605 ",R NINET PURE 719 UNDERGROUND/LIGHT WHITE,BMW Touring,2023
13," 17,790 ",R 1250 R SPORT,BMW Standard,2023
644," 19,900 ",S 1000 R,BMW Sportbike,2023
1522," 70,000 ",M1000RR,BMW Sportbike,2022
7984," 20,995 ",R 1250 GS,BMW Touring,2021
1996," 39,900 ",M 1000 RR,BMW Sportbike,2021
3867," 10,495 ",F 900 XR,Sport Touring,2020
6700," 9,749 ",F 750 GS,BMW Standard,2019
40311," 10,710 ",F 850 GS ADVENTURE,BMW Standard,2019
44683," 12,350 ",R 1200 RT,Sport Touring,2018
20670," 8,899 ",S 1000 R PREMIUM RACING RED,BMW Sportbike,2016
41658," 12,900 ",R 1200 GS,Dual Sport,2015
727," 6,599 ",F 800 GT,Sport Touring,2013
38800," 9,899 ",R 1200 GS,Dual Sport,2012
2197," 8,200 ",F 650 GS,Dual Sport,2012
45062," 11,500 ",S 1000 RR,BMW Sportbike,2012
23216," 5,500 ",F 650 GS,Dual Sport,2006
8," 21,915 ",S 1000 XR,BMW Sport Touring,2023
13," 5,190 ",G 310 R PASSION,BMW Standard,2023
1194," 25,500 ",K 1600 GTL EXCLUSIVE,Sport Touring,2022
523," 23,000 ",R 18 TRANSCONTINENTAL,BMW Cruiser,2022
27158," 21,500 ",R 1250,Dual Sport,2021
13031," 22,995 ",R 1250 GS ADVENTURE ICE GREY,Dual Sport,2021
7242," 9,750 ",F 900 XR,Sport Touring,2020
28247," 9,000 ",F 750 GS,Dual Sport,2019
17703," 14,995 ",R 1200 RT,Sport Touring,2018
3312," 16,999 ",S 1000 RR,BMW Sportbike,2018
38383," 12,490 ",R 1200 GS ADVENTURE,Dual Sport,2014
88514," 12,500 ",K 1600 GTL,BMW Touring,2012
22045," 9,850 ",R 1200 RT,BMW Touring,2011
62764," 12,960 ",R 1200 GS ADVENTURE,Dual Sport,2010
333," 21,999 ",R1250GS 1250 GS,BMW Dual Sport,2023
13," 11,455 ",F 900 R BLACK STORM METALLIC,BMW Standard,2023
903," 36,950 ",M 1000 RR,BMW Sportbike,2022
1304," 13,999 ",RNINET SCRAMBLER,BMW Sportbike,2022
4506," 8,295 ",C 400 GT,BMW Scooter,2022
15381," 20,999 ",R 1250 1250 R,Sport Touring,2021
1690," 21,500 ",R 1250 1250 R,Sport Touring,2021
2842," 13,500 ",F 850 GS ADVENTURE,Dual Sport,2020
2202," 17,500 ",R 1250,Sport Touring,2020
2451," 24,000 ",K 1600 GTL EXCLUSIVE,BMW Touring,2019
32396," 15,499 ",K 1600 B,BMW Touring,2018
31788," 12,999 ",R 1200 GS,Dual Sport,2015
45062," 5,800 ",K 1200 R,Sport Touring,2008
8," 24,005 ",R 1250 GS,BMW Standard,2023
5," 16,930 ",R NINET URBAN G/S,BMW Standard,2022
428," 19,999 ",S 1000 R,BMW Sportbike,2022
14," 24,315 ",R1250GS ADVENTURE 1250 GS ADVENTURE,BMW Dual Sport,2022
19," 24,315 ",R1250GS ADVENTURE 1250 GS ADVENTURE,BMW Dual Sport,2022
11911," 20,999 ",K 1600 GTL BLACK STORM METALLIC,BMW Touring,2021
1444," 5,900 ",G 310 GS,BMW Standard,2021
13116," 24,000 ",R 1250 GS ADVENTURE,Sport Touring,2020
29248," 12,995 ",F 850 GS ADVENTURE EXCLUSIVE STYLE,Dual Sport,2019
5180," 11,899 ",F 850 GS ADVENTURE RALLY STYLE LOW SUSP,Dual Sport,2019
36431," 16,000 ",R 1250 1250 R,Sport Touring,2019
11209," 12,899 ",R 1200 RT EBONY METALLIC,Sport Touring,2016
73225," 11,800 ",R 1200 GS,Dual Sport,2016
23554," 8,499 ",F 800 GT PREMIUM LIGHT WHITE,BMW Touring,2016
12247," 12,899 ",R 1200 GS,Dual Sport,2015
23818," 16,750 ",K 1600 GTL,Sport Touring,2014
61034," 10,500 ",R 1200 GS ADVENTURE,Dual Sport,2013
23841," 11,500 ",R 1200 GS ADVENTURE,Dual Sport,2013
35509," 9,899 ",K 1600 GT,BMW Touring,2012
3655," 6,300 ",R 1150 R,BMW Standard,2004
22531," 6,300 ",R 1200 C CLASSIC,BMW Cruiser,2002
805," 8,000 ",R 90 /6,BMW Cruiser/Vintage,1976
2562," 20,995 ",S 1000 XR LIGHT WHITE/M MOTORSPORT 1000 R,Dual Sport,2023
13," 24,745 ",R 1250 GS ADVENTURE TRIPLE BLACK,BMW Dual Sport,2023
2187," 16,900 ",R NINET BASE,BMW Standard,2022
2382," 11,995 ",R 18 BASE,BMW Cruiser,2021
9551," 16,290 ",S 1000 XR,Dual Sport,2021
5794," 10,500 ",F 750,Dual Sport,2020
16032," 19,500 ",R 1250,Dual Sport,2020
12616," 11,900 ",R NINET /50TH ANNIVERSARY,BMW Standard,2020
17703," 21,000 ",R 1250 GS,Dual Sport,2020
44746," 16,890 ",K 1600 B,BMW Touring,2019
3867," 19,980 ",R 1200 GS ADVENTURE,Dual Sport,2017
13082," 12,499 ",S 1000 XR PREMIUM LIGHT WHITE / GRANITE GREY METALLIC /,Dual Sport,2016
26554," 13,999 ",R 1200 RT,BMW Touring,2016
34820," 13,990 ",R 1200 GS ADVENTURE,Dual Sport,2015
17354," 13,514 ",S1000RR,BMW Sportbike,2014
9658," 12,790 ",R 1200 GS TRIPLE BLACK,Dual Sport,2011
8364," 5,790 ",F 800 R,Dual Sport,2011
3660," 22,780 ",R 1250 GS GS TROPHY,BMW Dual Sport,2023
1600," 28,995 ",K 1600 GTL GRAVITY BLUE METALLIC,BMW Sportbike,2022
18," 23,240 ",R 18 B MANHATTAN METALLIC MATT,BMW Cruiser,2022
12395," 23,900 ",R1250 GS ADVENTURE,BMW Touring,2022
33796," 19,800 ",S 1000 RR,BMW Sportbike,2020
6925," 8,997 ",R NINE T,BMW Sportbike,2018
86905," 12,000 ",R 1200 GS ADVENTURE,Dual Sport,2017
7358," 5,499 ",F 800 R,Sport Touring,2013
14001," 6,350 ",F 800 GT,Sport Touring,2013
23675," 6,800 ",F 650 GS,Dual Sport,2013
69334," 6,499 ",K 1300 GT,Sport Touring,2010
46835," 5,995 ",R 1200 RT,Sport Touring,2007
10," 23,045 ",R 1250 GS,BMW Standard,2023
335," 22,840 ",R 1250 GS GS TROPHY,BMW Dual Sport,2023
161," 39,999 ",M,BMW Sportbike,2023
16," 18,240 ",R 1250 R SPORT,BMW Standard,2023
330," 26,990 ",R 18 TRANSCONTINENTAL,BMW Cruiser,2023
3468," 17,990 ",S 1000 R,BMW Standard,2022
3," 12,995 ",F 750 GS STYLE TRIPLE BLACK,BMW Dual Sport,2022
62414," 13,495 ",R 1250 RS AUSTIN YELLOW METALLIC MATTE,Sport Touring,2020
13697," 16,750 ",R 1250,BMW Standard,2020
24887," 12,995 ",R NINET BLACK STORM METALLIC / VINTAGE 719,BMW Sportbike,2019
111745," 11,999 ",R 1250 GS BLACK STORM METALLIC PREMIUM,Dual Sport,2019
579," 13,995 ",S 1000 XR,Sport Touring,2018
17947," 10,000 ",F800 GSA,Dual Sport,2017
4117," 11,800 ",R NINET SCRAMBLER,BMW Cruiser/Vintage,2017
24475," 9,999 ",S 1000 XR,Sport Touring,2016
45062," 9,500 ",R 1200 R CLASSIC,Sport Touring,2014
94951," 11,711 ",K 1600 GTL,BMW Touring,2013
5," 6,290 ",G 310 GS,BMW Standard,2023
16," 19,940 ",R 18 OPTION 719 MINERAL WHITE BASE,BMW Cruiser,2023
877," 13,445 ",CE 04 LIGHT WHITE,BMW Scooter,2022
425," 24,515 ",R 1250 GS ADVENTURE RALLYB- DEMO,BMW Dual Sport,2022
2575," 18,499 ",R NINET 719,BMW Cruiser,2022
25576," 21,000 ",R 1250 GS ADVENTURE,Dual Sport,2020
9173," 15,800 ",R 1250,Sport Touring,2020
99655," 11,995 ",R 1200 RT ALPINE WHITE PREMIUM,BMW Touring,2018
57272," 17,500 ",R 1200 GS ADVENTURE,Dual Sport,2017
65500," 8,999 ",K 1600,Sport Touring,2016
45062," 13,900 ",R 1200 GS ADVENTURE,Dual Sport,2016
8517," 10,000 ",F 800 GS ADVENTURE,Dual Sport,2015
130558," 8,995 ",K 1600 GT,BMW Touring,2012
56718," 6,500 ",R 1200 R,Sport Touring,2012
59232," 8,899 ",RT1200,Sport Touring,2011
