Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
8,"13,949",890 ADVENTURE,Dirt Bike,2023
2,"19,599",1290SPRDKEREVO SUPER ADVENTURE S,KTM Standard,2022
2,"5,999",390 DUKE,KTM Sportbike,2022
2334,"5,250",390 DUKE,KTM Sportbike,2022
2,"5,799",RC 390,KTM Sportbike,2022
8,"12,288",890 ADVENTURE,KTM Sportbike,2022
2,"4,799",RC 390,KTM Sportbike,2022
51,"7,999",350 SX-F,KTM Mx,2021
1448,"8,500",300 XC-W TPI,Dirt Bike,2019
2575,"7,800",300 XC-W TPI,Dirt Bike,2019
9817,"12,500",1290 SUPER ADVENTURE R,KTM Sportbike,2018
7128,"4,797",RC 390 ABS,KTM Sportbike,2017
22273,"9,995",1290 SUPER DUKE R,Sport Touring,2016
3372,"7,499",SUPER DUKE 990,KTM Sportbike,2008
1123,"10,299",350 EXC-F,KTM Standard,2022
5248,"16,500",1290 SUPER DUKE R,KTM Sportbike,2020
5601,"17,900",1290 SUPER ADVENTURE R,Dual Sport,2020
224,"3,999",65 SX,KTM Mx,2018
17754,"10,500",1290 SUPER DUKE R,KTM Sportbike,2014
78053,"5,850",990 ADVENTURE LC8,Sport Touring,2007
2,"7,999",FREERIDE E-XC,Dirt Bike,2023
5,"4,099",DUKE 200,KTM Custom,2022
16,"10,500",250 XC-W TPI,Dirt Bike,2022
14,"9,000",300 XC TPI,Dirt Bike,2022
1448,"9,950",500 EXC-F,Dual Sport,2021
8819,"3,799",390 DUKE,KTM Standard,2015
2,"12,999",690 SMC R ENDURO R,KTM Standard,2023
1484,"8,580",500 EXC-F,KTM Standard,2019
7725,"12,000",950 SUPER ENDURO R,Dual Sport,2007
2,"12,999",690 ENDURO R,KTM Standard,2023
2,"10,999",500 EXC-F,Dirt Bike,2023
2,"12,949",890 DUKE R,KTM Sportbike,2023
2,"5,699",85SX 17/14 85 17 14,KTM Custom,2022
2916,"6,397",390 ADVENTURE,Sport Touring,2020
5522,"15,999",1290 SUPER DUKE GT,Sport Touring,2017
31307,"8,999",990 ADVENTURE,Dual Sport,2007
1601,"4,995",RC 390,KTM Sportbike,2017
31862,"8,997",1290 SUPER ADVENTURE,Sport Touring,2015
33766,"15,499",1290 SUPER DUKE R,KTM Sportbike,2019
